Codigo,Lugar,Latitud,Longitud
10404,24 de Abril,18.4781,-69.93069
10305,27 de Febrero,18.50011,-69.8884
10116,30 de Mayo,18.44219,-69.93791
10305,Agua Dulce,18.4781,-69.93069
10605,Altos de Arroyo Hondo I,18.49946,-69.97588
10506,Altos de Arroyo Hondo II,18.4781,-69.93069
10605,Altos de Arroyo Hondo III,18.5054,-69.96546
10118,Antillas,18.4446,-69.93084
10121,Arboleda (naco),18.47595,-69.92302
10505,Arroyo Manzano,18.50943,-69.95057
10505,Arroyo Manzano,18.50943,-69.95057
10115,Atala,18.44676,-69.94089
10515,Barrio Obrero,18.4781,-69.93069
10111,Bella Vista,18.45588,-69.94015
10112,Bella Vista,18.45588,-69.94015
10213,Borojol,18.4781,-69.93069
10505,Buena Vista,18.4781,-69.93069
10514,Cachiman,18.47728,-69.90042
10407,Capotillo,18.50498,-69.90367
10128,Carmelita,18.48031,-69.94982
10509,Carmen Amelia,18.4781,-69.93069
10133,Castellana,18.46963,-69.95578
10101,Centro de Los Heroes,18.44938,-69.926
10122,Centro Olimpico,18.4781,-69.93069
10504,Cerros de Arroyo Hondo,18.51346,-69.93568
10605,Cerros de Arroyo Hondo III,18.50038,-69.97141
10116,Ciudad Gandera,18.4781,-69.93069
10135,Ciudad Moderna,18.46794,-69.9662
10208,Ciudad Nueva,18.46702,-69.89324
10105,Ciudad Universitaria,18.46114,-69.91707
10507,Colinas de Arroyo Hondo,18.4781,-69.93069
10606,Colinas del Seminario,18.49518,-69.96918
10601,Constelacion,18.4781,-69.93069
10118,Costa Brava,18.44506,-69.92861
10501,Cristo Rey,18.50365,-69.92377
10505,Cuesta Brava,18.51812,-69.95876
10507,Cuesta Hermosa,18.4781,-69.93069
10504,Cuesta Hermosa III,18.44875,-69.95395
10504,Cuesta Hermosa III,18.44875,-69.95395
10304,Domingo Savio,18.49873,-69.8791
10201,Don Bosco,18.47755,-69.90125
10202,Don Bosco,18.47755,-69.90125
10607,Don Honorio,18.49366,-69.98109
10118,El Cacique,18.44311,-69.93345
10501,El Caliche,18.55,-69.85
10607,El Condado,18.4781,-69.93069
10110,El Embajador,18.45683,-69.93451
10411,El Ensanchito,18.4781,-69.93069
10108,El Manguito,18.45789,-69.92935
10149,El Millon,18.45659,-69.9595
10508,El Pino,18.47739,-69.84384
10115,El Portal,18.44424,-69.94052
10107,El Vergel,18.47372,-69.91558
10135,Encarnacion,18.47424,-69.96546
10402,Ensanche Espaillat,18.4781,-69.93069
10206,Ensanche Independencia,18.46487,-69.9059
10513,Ensanche Kennedy,18.4781,-69.93069
10514,Ensanche La Fe,18.4781,-69.93069
10117,Ensanche La Paz,18.45082,-69.9327
10209,Ensanche Lugo,18.47001,-69.89473
10401,Ensanche Luperon,18.5007,-69.89697
10406,Ensanche Luperon,18.5007,-69.89697
10145,Ensanche Quisqueya,18.46127,-69.95057
10146,Ensanche Quisqueya,18.46127,-69.95057
10107,Esperilla,18.48061,-69.98381
10108,Esperilla,18.48061,-69.98381
10143,Estela Marina (los Millones),18.49276,-69.95355
10147,Evaristo Morales,18.46313,-69.94163
10505,Fundacion,18.4781,-69.93069
10205,Gazcue,18.46895,-69.90441
10204,Gazcue (plaza de La Cultura),18.46126,-69.955
10302,Guachupita,18.4781,-69.93069
10403,Gualey,18.51025,-69.88729
10117,Hoduras,18.45082,-69.9327
10504,Isabel Villas,18.4781,-69.93069
10130,Julieta Morales,18.46787,-69.9461
10516,La Agustina,18.49548,-69.92675
10509,La Agustinita,18.49548,-69.92675
10508,La Aldaba,18.4781,-69.93069
10410,La Caridad,18.4781,-69.93069
10607,La Ceiba,18.44875,-69.94725
10516,La Cementera,18.4781,-69.93069
10303,La Cienaga,18.4781,-69.93069
10502,La Cuarenta,18.4781,-69.93069
10604,La Esperanza,18.50566,-69.89188
10511,La Fe,18.48791,-69.92228
10512,La Fe,18.48791,-69.92228
10302,La Fuente,18.4905,-69.88468
10503,La Isabela,18.4781,-69.93069
10109,La Julia,18.46149,-69.92675
10505,La Meseta,18.4781,-69.93069
10207,La Primavera,18.46704,-69.89994
10507,La Puya,18.4781,-69.93069
10120,La Yuca,18.46811,-69.92898
10408,La Zurza,18.50721,-69.91111
10516,Lanna Gautier,18.4781,-69.93069
10608,Las Colinas,18.49466,-69.94514
10502,Las Flores,18.42874,-69.99948
10603,Las Villas,18.49793,-69.91037
10507,Lomas de Arroyo Hondo,18.4891,-69.97414
10125,Lopez de Vega,18.4781,-69.93069
10118,Los Arrecifes,18.4781,-69.93069
10507,Los Arroyos,18.4781,-69.93069
10510,Los Caminos,18.4781,-69.93069
10304,Los Guandules,18.50156,-69.8791
10607,Los Guayabos,18.49278,-69.97792
10602,Los Jardines del Norte,18.48551,-69.95206
10139,Los Millones,18.45784,-69.95801
10140,Los Millones,18.45784,-69.95801
10141,Los Millones,18.45784,-69.95801
10142,Los Millones,18.45784,-69.95801
10144,Los Millones,18.45784,-69.95801
10508,Los Pinos,18.49617,-69.94626
10608,Los Pinos,18.49617,-69.94626
10130,Los Praditos,18.46914,-69.95131
10131,Los Prados,18.47326,-69.95652
10132,Los Prados,18.47326,-69.95652
10601,Los Proceres,18.4781,-69.93069
10137,Los Restauradores,18.45724,-69.96546
10604,Los Rios,18.48905,-69.97141
10106,Los Robles,18.4781,-69.93069
10138,Manganagua,18.4522,-69.96471
10505,Manzano,18.50943,-69.95057
10302,Maria Auxiliadora,18.49656,-69.88505
10305,Maria Auxiliadora,18.49656,-69.88505
10102,Mata Hambre,18.4552,-69.92749
10301,Mejoramiento Social,18.49155,-69.89101
10306,Mejoramiento Social,18.49155,-69.89101
10114,Mirador Norte,18.44921,-69.96322
10203,Miraflores,18.47935,-69.90888
10119,Naco,18.47658,-69.92228
10122,Naco,18.47658,-69.92228
10123,Naco,18.47658,-69.92228
10124,Naco,18.47658,-69.92228
10126,Paraiso,18.48012,-69.94163
10503,Parque Isabela,18.4781,-69.93069
10127,Piantini,18.46814,-69.93568
10148,Piantini,18.46814,-69.93568
10150,Piantini,18.46814,-69.93568
10505,Pista de Motocros La Yuca,18.46811,-69.92898
10608,Pradera Hermosa,18.49332,-69.97476
10218,Reparto Aguedita (gazcue),18.4705,-69.8992
10606,Residencial La Yuca,18.4781,-69.93069
10136,Residencial Rosmil,18.45961,-69.96769
10115,Rocamar,18.4781,-69.93069
10216,San Carlos,18.47772,-69.89399
10217,San Carlos,18.47772,-69.89399
10104,San Geronimo,18.46982,-69.96397
10134,San Geronimo,18.46982,-69.96397
10211,San Lazaro,18.47408,-69.88989
10302,San Martin de Porres,18.49679,-69.88394
10212,San Miguel,18.47596,-69.88766
10502,Santa Rosa,18.45401,-69.95892
10113,Sarasota,18.45182,-69.94833
10405,Simon Bolivar,18.5092,-69.89697
10501,Trueva,18.4781,-69.93069
10129,Urbanización Fernandez,18.4759,-69.94833
10135,Urbanización Las Praderas,18.46541,-69.96248
10505,Urbanización Puerta de Hierro,18.53192,-69.96784
10510,Viejo Arroyo Hondo,18.49619,-69.9461
10607,Villa Claudia,18.50232,-69.98258
10308,Villa Consuelo,18.48687,-69.89994
10309,Villa Consuelo,18.48687,-69.89994
10608,Villa Elena,18.48866,-69.87417
10214,Villa Francisca,18.48115,-69.88869
10215,Villa Francisca,18.48115,-69.88869
10412,Villa Juana,18.4866,-69.91037
10413,Villa Juana,18.4866,-69.91037
10307,Villa Maria,18.48906,-69.89734
10608,Villa Marina,18.4826,-69.97067
10409,Villas Agricolas,18.49793,-69.91037
10410,Villas Agricolas,18.49793,-69.91037
10502,Yaquito,18.4781,-69.93069
10210,Zona Colonial,18.47265,-69.88654
10103,Zona Universitaria,18.46051,-69.91781